skn,name,lat,lng,island
856.2,HELEMANO 856.2,21.56667,-158.05361,OA
856.1,Burma Road,21.55377143,-158.0514167,OA
856,Helemano 6,21.56432672,-158.0828049,OA
855.4,POAMOHO EXPERIMENTAL FARM 855,21.53833,-158.08917,OA
855.3,Poamoho Exp Farm,21.5382004,-158.0893,OA
855.2,Waialua,21.53849494,-158.0889166,OA
855.1,Waialua Ranch,21.54016191,-158.1022497,OA
855,KEMOO CAMP 8 855,21.5384949,-158.0855832,OA
854,Helemano 9,21.57515959,-158.0855823,OA
853,Helemano 7,21.55182733,-158.0889163,OA
852,Helemano 4,21.5648825,-158.1005825,OA
851,Kemoo 3,21.55516096,-158.1039161,OA
850,Valley 2,21.55849491,-158.1166936,OA
849,Keeaumoku,21.55349553,-158.1205825,OA
848,Puu Iki,21.53849697,-158.1222493,OA
847,WAIALUA 847,21.5737,-158.121,OA
846,Ranch,21.55516735,-158.1372466,OA
845.7,Makaha Valley MAK2,21.50222222,-158.18,OA
845.6,Makaha Valley 6,21.50611111,-158.1561111,OA
845.5,Makaha Valley 5,21.51,-158.1633333,OA
845.4,Makaha Valley 4A,21.53194444,-158.1688889,OA
845.3,Makaha Valley 3,21.50138889,-158.1725,OA
845.2,Makaha Valley 2,21.50972222,-158.1819444,OA
845.1,Makaha Valley 1,21.50638889,-158.1766667,OA
845,Gay 10,21.57183439,-158.1444677,OA
